"id","item_number","description","cost","mode","type","active"
"53","05-006","Please update",NULL,NULL,"inventoryitem",False
"530","1U923","PLUG  1/2"""" SIGHT GLASS","11.05","CONSUMABLE","inventoryitem",True
"5300","SMEI-8-6N","1/2T X 3/8 MNPT 90 TUBING FITT",NULL,"CONSUMABLE","inventoryitem",True
"5301","SMEI-8-8N","1/2"" PIPE BY 1/2"" INCH STAINLE",NULL,"CONSUMABLE","inventoryitem",True
"5302","SN-6","3/8 TUBING NUT",NULL,"CONSUMABLE","inventoryitem",True
"5303","SP-111-HP-3","CLUTCH ASSY VRG330 ARROW 11""""",NULL,"MAJOR COMPONENTS","inventoryitem",True
"5304","SP-4","1/4"" PLUG",NULL,"CONSUMABLE","inventoryitem",True
"5305","SP-6","3/8 TUBING PLUG",NULL,"CONSUMABLE","inventoryitem",True
"5306","SP211","11"""" CLUTCH","390.87","ENGINE PROGRAM","inventoryitem",True
"5307","SP211AJAX","11"""" AJAX  CLUTCH","1050.17","ENGINE PROGRAM","inventoryitem",True
"5308","SPEC-7456-C","KIT INJECTOR LARGE AJAX","198.39","ENGINE PROGRAM","inventoryitem",True
"5309","SPEC7456-A","KIT REBUILD INJECTOR AJAX","48.63","CONSUMABLE","inventoryitem",True
"531","1U924","PLUG  3/4""""  SIGHT GLASS",NULL,"CONSUMABLE","inventoryitem",True
"5310","SPLFC-350P20","TEMP. SWITCHGAGE",NULL,"CONSUMABLE","inventoryitem",True
"5311","SPLFC350P30","GAUGE SWITCH TEMP MURPHY",NULL,"CONSUMABLE","inventoryitem",True
"5312","SPW-085","FAST TACK ADHESIVE",NULL,"CONSUMABLE","inventoryitem",True
"5313","SR2SN-24-FJ-24-FJ-24-42IN","1-1/2'' X 42'' 2-WIRE FJ X FJ",NULL,"CONSUMABLE","inventoryitem",True
"5315","SR5-12","5/8 IN HOSE",NULL,"CONSUMABLE","inventoryitem",True
"5317","SRM-27","BATTERY DEEP CYCLE 12VOLT",NULL,"CONSUMABLE","inventoryitem",True
"5318","SRM24","BATTERY WET CELL 12VDC THREADE",NULL,"CONSUMABLE","inventoryitem",True
"5319","SRV100","VALVE 1"""" 225 PSI DIE-CAST ALU","262.29","COMPRESSOR VALVE PROGRAM","inventoryitem",True
"532","1U925","PLUG  1"""" SIGHT GLASS","17.49","CONSUMABLE","inventoryitem",True
"5320","SRV150","VALVE RELAY ENGINE AIR STARTER","227.5","COMPRESSOR VALVE PROGRAM","inventoryitem",True
"5321","SS-10L-12V","REGULATOR 12V (SUN SAVER)",NULL,"CONSUMABLE","inventoryitem",True
"5322","SS-4-DME-2","1/4""X1/8"" NPT MALE ELBOW",NULL,"CONSUMABLE","inventoryitem",True
"5323","SS-940-103","1/2"" 2M SS FP Ball Valve",NULL,"CONSUMABLE","inventoryitem",True
"5324","SS.75AS-ACE","ACE Spherical Spacers",NULL,"CONSUMABLE","inventoryitem",True
"5325","SS150-CSFJ-CSMP-24IN","1-1/2"" X 24"" SS W/CS FJ X MP",NULL,"CONSUMABLE","inventoryitem",True
"5326","SS1800072","THERMOSTAT 180' GM350",NULL,"CONSUMABLE","inventoryitem",True
"5327","SS815FGB03R31-R","AIR STARTER, INGERSOLL RAND,",NULL,"ENGINE PROGRAM","inventoryitem",True
"5328","SS815RH","AIR STARTER",NULL,"CONSUMABLE","inventoryitem",True
"5329","SS815UGB03R31R","REBUILT STARTER 379 CAT","805","CONSUMABLE","inventoryitem",True
"533","1U927","SIGHT GLASS","27.8","CONSUMABLE","inventoryitem",True
"5330","SS825GC03R25-R","DO NOT USE. SEE SS825UGC03R25R",NULL,"CONSUMABLE","inventoryitem",False
"5331","SS825RM","STARTER REMAN IR800 SERIES",NULL,"CONSUMABLE","inventoryitem",True
"5332","SS825UGC03R25R","INGERSOLRAND/ STARTER",NULL,"ENGINE PROGRAM","inventoryitem",True
"5333","SSB-5","SWITCH  PUSH BUTTON STARTER",NULL,"CONSUMABLE","inventoryitem",True
"5334","SST1/2","TUBING 1/2"""" .035 WALL 316SS S",NULL,"CONSUMABLE","inventoryitem",True
"5335","SST1/2-316SMLS","1/2 IN S/S INSTRUMENTATION TUB",NULL,"CONSUMABLE","inventoryitem",True
"5336","SST1/4","TUBING 1/4"""" .035 WALL 316SS S",NULL,"CONSUMABLE","inventoryitem",True
"5337","SST1/4-316SMLS","1/4 .035 WALL 316SS SMLS INSTR",NULL,"CONSUMABLE","inventoryitem",True
"5338","SST3/8","TUBING 3/8"""" .035 WALL 316SS S","1.08","CONSUMABLE","inventoryitem",True
"5339","SST3/8-316SMLS","3/8 STAINLESS TUBING (PRICE PE",NULL,"CONSUMABLE","inventoryitem",True
"534","1U928","PLUG  2"""" SIGHT GLASS","43.8","CONSUMABLE","inventoryitem",True
"5340","ST1","1/2"" MYERS HUB",NULL,"CONSUMABLE","inventoryitem",True
"5341","ST26","PUSH BUTTON",NULL,"CONSUMABLE","inventoryitem",True
"5342","ST81","STARTER SOLENOID","24.03","CONSUMABLE","inventoryitem",True
"5343","ST85","12V SOLENOID","58.5","CONSUMABLE","inventoryitem",True
"5344","ST88","24V SOLENOID",NULL,"CONSUMABLE","inventoryitem",True
"5345","ST93","SOLENOID",NULL,"CONSUMABLE","inventoryitem",True
"5346","STA11-921A","100 PACK UTILITY BLADES",NULL,"CONSUMABLE","inventoryitem",True
"5347","STAKIT","TERMINAL KIT",NULL,"CONSUMABLE","inventoryitem",True
"5348","STB6301","STARTER BUTTON",NULL,"CONSUMABLE","inventoryitem",True
"5349","STC5","FITTING  3/4"""" MNPT X 3/4"""" HO","23.47","CONSUMABLE","inventoryitem",True
"535","1V-7368","SPACER","7.92","CONSUMABLE","inventoryitem",True
"5350","STR-EE2-9802X6","2""X6' LIFTING STRAP",NULL,"TOOLS","inventoryitem",True
"5351","STR-EEF2901-06","1""X6' LIFTING STRAP",NULL,"TOOLS","inventoryitem",True
"5352","SUEI-8","1/2T X 1/2T 90 UNION",NULL,"CONSUMABLE","inventoryitem",True
"5353","SUI-4","1/4T X 1/4T TUBING UNION",NULL,"CONSUMABLE","inventoryitem",True
"5354","SUI-6","3/8T X 3/8T TUBING UNION",NULL,"CONSUMABLE","inventoryitem",True
"5355","SUI-8","1/2 T X 1/2 T SS SUPERLOK UNIO",NULL,"CONSUMABLE","inventoryitem",True
"5356","SUS803G5","5 GALLON MINERAL SPIRITS",NULL,"CONSUMABLE","inventoryitem",True
"5357","SUTI-6","3/8 T SS SUPERLOK UNION TEE -",NULL,"CONSUMABLE","inventoryitem",True
"5358","SUTI-8","1/2T TUBING UNION TEE",NULL,"CONSUMABLE","inventoryitem",True
"5359","SW152PCS","SAFETY GLASSES  S & W SMOKE",NULL,"CONSUMABLE","inventoryitem",True
"536","1W-1456","PULLEY",NULL,"ENGINE PROGRAM","inventoryitem",True
"5360","SW181","DISCONNECT SWITCH",NULL,"CONSUMABLE","inventoryitem",True
"5361","SX320M","SOLAR PANEL  12V",NULL,"ENGINE PROGRAM","inventoryitem",True
"5362","SXWIRK20","20GA K-TYPE T-COUPLE WIRE",NULL,"CONSUMABLE","inventoryitem",True
"5363","T-BOLT288","288 TBOLT CLAMP",NULL,"CONSUMABLE","inventoryitem",True
"5364","T1/22MFS","1/2 2000# FS TEE",NULL,"CONSUMABLE","inventoryitem",True
"5365","T1/42MFS","1/4'' 2000# FS TEE",NULL,"CONSUMABLE","inventoryitem",True
"5366","T100-27900","Exhaust Adaptor Kit, 3"" NPT Ma",NULL,"CONSUMABLE","inventoryitem",True
"5367","T10BOX","RAGS BOX 10#",NULL,"CONSUMABLE","inventoryitem",True
"5368","T112-60001-B1R-EX-R","STARTER; TDI, RIGHT HANDED, 15",NULL,"CONSUMABLE","inventoryitem",True
"5369","T112-60001-B1R-M","STARTER RH",NULL,"ENGINE PROGRAM","inventoryitem",True
"537","1W-2447","ADAPTER-OUTLET",NULL,"CONSUMABLE","inventoryitem",True
"5370","T112-60031-01R-1-03","AIR STARTER 3516 CAT",NULL,"CONSUMABLE","inventoryitem",True
"5371","T112-60031-01R-1-03R","AIR STARTER 3516 CAT","1758.89","MAJOR COMPONENTS","inventoryitem",True
"5372","T112-60031-01-R-M","TDI AIR STARTER, 150PSI, FITS 3516 ENGINES, REMAN",NULL,"MAJOR COMPONENTS","inventoryitem",True
"5373","T1126003102L103","STARTER PNEUMATIC REBUILT TDI",NULL,"CONSUMABLE","inventoryitem",True
"5374","T115-60K88-B1R-1-4E-M","T115-B AIR STARTER, 15 Noz, RH","2180.7","CONSUMABLE","inventoryitem",True
"5375","T121-60001-B1R","AIR STARTER",NULL,"CONSUMABLE","inventoryitem",True
"5376","T121-60031-01R-1-03","TDI VIPER AIR STARTER, PREENGAGED, 90PSI, FITS 3516 ENGINES",NULL,"MAJOR COMPONENTS","inventoryitem",True
"5377","T121-60031-01R-1-M3","AIR STARTER 90 PSI","6861.9","ENGINE PROGRAM","inventoryitem",True
"5378","T12MFS","TEE  1"""" 2000# FS",NULL,"CONSUMABLE","inventoryitem",True
"5379","T201","TAPE  TEFLON  1/2""""",NULL,"CONSUMABLE","inventoryitem",True
"538","1W-2636","CAT: SEAL O-RING","3.78","CONSUMABLE","inventoryitem",True
"5380","T22MFS","2 2000# FS TEE",NULL,"CONSUMABLE","inventoryitem",True
"5381","T3/42MFS","3/4'' 2000# FS TEE",NULL,"CONSUMABLE","inventoryitem",True
"5382","T312-60017-01R-M","TDI T30I STARTER","864","CONSUMABLE","inventoryitem",True
"5383","T3126001702R","STARTER PNEUMATIC REBUILT TDI","1507","CONSUMABLE","inventoryitem",True
"5384","T40","IMPACT DRIVE",NULL,"CONSUMABLE","inventoryitem",True
"5385","T41712","ALL-THREAD ROD  3/8""""X 36""""",NULL,"CONSUMABLE","inventoryitem",True
"5386","T72072","TEFLON TAPE",NULL,"CONSUMABLE","inventoryitem",True
"5387","T72076","TEFLON TAPE",NULL,"CONSUMABLE","inventoryitem",True
"5388","T73634-33","BI-LCK 6TX6T UNION",NULL,"CONSUMABLE","inventoryitem",True
"5389","T73634-35","BI-LCK 8T X 8MP STR.8- SS",NULL,"CONSUMABLE","inventoryitem",True
"539","1W-3057-R","3306 WATER PUMP REBUILT",NULL,"CONSUMABLE","inventoryitem",True
"5390","TCK8-30-90","Please update",NULL,"CONSUMABLE","inventoryitem",True
"5391","TMP-S8A6K6U1-360BS","THERMOCOUPLE",NULL,"CONSUMABLE","inventoryitem",True
"5392","TOL","TEST ONLY",NULL,"CONSUMABLE","inventoryitem",True
"5393","TP503","POTENTIOMETER","57.64","CONSUMABLE","inventoryitem",True
"5394","TRF-3051","CLIMPER INSULATED TERMINALS",NULL,"CONSUMABLE","inventoryitem",True
"5395","TS-25","SWITCH TOGGLE  ON/OFF",NULL,"CONSUMABLE","inventoryitem",True
"5396","TS168843R","CARTRIDGE, TURBO 0R-7098 (CG13",NULL,"ENGINE PROGRAM","inventoryitem",True
"5397","TS711301-9002R","TURBO CART CAT (20R-7504)",NULL,"FRAME PROGRAM","inventoryitem",True
"5398","TS752602-904R","TURBOCHARGER",NULL,"ENGINE PROGRAM","inventoryitem",True
"5399","TTD-H","ANNUNCIATOR DISPLAY MURPHY","668.84","CONSUMABLE","inventoryitem",True
"54","05-008","Please update",NULL,NULL,"inventoryitem",False
"540","1W-4188","RETAINER ASSY.","44.44","CONSUMABLE","inventoryitem",True
"5400","TTDJ-DC","ANNUNCIATOR","1124.04","CONSUMABLE","inventoryitem",True
"5401","TUBING 1/2","TUBING  SS - 1/2""""",NULL,"CONSUMABLE","inventoryitem",True
"5402","TUBING 1/4","TUBING 1/4"""""""" 316SS",NULL,"CONSUMABLE","inventoryitem",True
"5403","TUBING 3/8","TUBING  SS  3/8""""",NULL,"CONSUMABLE","inventoryitem",True
"5404","TW 1/2X7.5 ASSY","THERMOWELL 1/2NPT 1/4T 7.5L AS",NULL,"CONSUMABLE","inventoryitem",True
"5405","TWDA5579D","PLATE DRIVE TWIN DISC  SOLID","80.44","CONSUMABLE","inventoryitem",True
"5406","TY-SS-3803","3/8"" 3 LINE SS TUBING CLAMP 25",NULL,"CONSUMABLE","inventoryitem",True
"5407","TY-SS-4-DMC-2","1/4""T X 1/8"" NPT MALE STRAIGHT",NULL,"CONSUMABLE","inventoryitem",True
"5408","TY-SS-4-DME-2","1/4""T X 1/8"" NPT MALE ELBOW.",NULL,"CONSUMABLE","inventoryitem",True
"5409","TY-SS-4-DU","1/4"" X 1/4"" DBL TUBE UNION",NULL,"CONSUMABLE","inventoryitem",True
"541","1W-4506","ADAPTOR","36.97","CONSUMABLE","inventoryitem",True
"5410","TY-SS-8-DMC-8","1/2X1/2 NPT MALE STRAIGHT",NULL,"CONSUMABLE","inventoryitem",True
"5411","TY-SS-8-DME-8","1/2X1/2 NPT MALE ELBOW",NULL,"CONSUMABLE","inventoryitem",True
"5412","TY-SS-8-DU","1/2X1/2 DBL TUBE UNION",NULL,"CONSUMABLE","inventoryitem",True
"5413","U-0014-K","ARIEL; VVCP REBUILD KIT/V-PACK",NULL,"COMPRESSOR VALVE PROGRAM","inventoryitem",True
"5414","U-0051-K","ARIEL; VVCP REBUILD KIT/ V-PAC",NULL,"COMPRESSOR VALVE PROGRAM","inventoryitem",True
"5415","U1/4FS","1/4 3000# HEX UNION",NULL,"CONSUMABLE","inventoryitem",True
"5416","U1FS","FORGED STEEL HEX UNION 1"""" 300",NULL,"CONSUMABLE","inventoryitem",True
"5417","U2FS","HEX UNION  2""""",NULL,"CONSUMABLE","inventoryitem",True
"5418","U3/4FS","3/4'' 3000# HEX UNION",NULL,"CONSUMABLE","inventoryitem",True
"5419","U3/8FS","3/8"" 3000# FS THD HEX UNION",NULL,"CONSUMABLE","inventoryitem",True
"542","1W-4542","COVER","90.86","CONSUMABLE","inventoryitem",True
"5420","UNCUT/PAG/5ZL","MULTIWING FAN BLADE","50.88","CONSUMABLE","inventoryitem",True
"5421","UNCUT/Z12/PAG","FAN BLADE MULTIWING",NULL,"CONSUMABLE","inventoryitem",True
"5422","USABLUE","BLUE PAINT  5 GAL",NULL,"CONSUMABLE","inventoryitem",True
"5423","V-2600R","ORING",NULL,"CONSUMABLE","inventoryitem",True
"5424","V-2630R","ORING",NULL,"CONSUMABLE","inventoryitem",True
"5425","V-2640R","O-RING",NULL,"CONSUMABLE","inventoryitem",True
"5426","V-384","ARIEL; O-RING",NULL,"CONSUMABLE","inventoryitem",True
"5427","V1656T","FILTER OIL",NULL,"PM PARTS","inventoryitem",True
"5428","V1874-T","FILTER OIL","14.62","PM PARTS","inventoryitem",True
"5429","V216032","BRACKET FAN ASSY W/SHEAVE VRG2","845.72","ENGINE PROGRAM","inventoryitem",True
"543","1W-4594","BEARING, SLEAVE",NULL,"CONSUMABLE","inventoryitem",True
"5430","V7-W4","600V TERRMINAL BLOCK",NULL,"CONSUMABLE","inventoryitem",True
"5431","V75200-1","BALL VALVE 600# 3/4""",NULL,"CONSUMABLE","inventoryitem",True
"5432","V75260-06","APOLLO 1"" BALL VALVE",NULL,"CONSUMABLE","inventoryitem",True
"5433","V76405","AGCO-H5RDC-22 MINI VALVE M/F",NULL,"CONSUMABLE","inventoryitem",True
"5434","VC-1","VALVE CHAIR","14.08","CONSUMABLE","inventoryitem",True
"5435","VCI-F","PICKLING OIL / CORROSION INHIB",NULL,"CONSUMABLE","inventoryitem",True
"5436","VPCI 329 - 12100032","FLUID CORROSION INHIBITOR LUBR",NULL,"CONSUMABLE","inventoryitem",True
"5437","VRC21325","DOOR GASKET VRC COMPRESSOR",NULL,"CONSUMABLE","inventoryitem",True
"5438","VRC23501","PACKING KIT  VRC COMPRESSOR",NULL,"CONSUMABLE","inventoryitem",True
"5439","VRC24451","RING 4.5 PISTON","27.48","CONSUMABLE","inventoryitem",True
"544","1W-4776-R","REMAN PRELUBE PIUMP","620","ENGINE PROGRAM","inventoryitem",True
"5440","VRC24452","RIDER BAND 4.5","39.26","CONSUMABLE","inventoryitem",True
"5441","VRC24702","BAND","62.78","CONSUMABLE","inventoryitem",True
"5442","VRC24751","7.5"" PISTON",NULL,"CONSUMABLE","inventoryitem",True
"5443","VRC24752","7.5"" RIDER BAND",NULL,"CONSUMABLE","inventoryitem",True
"5444","VRC25027","SCREW 1/2 X 2-1/2",NULL,"CONSUMABLE","inventoryitem",True
"5445","VRC25037","SCREW 1/2 X 3/4",NULL,"CONSUMABLE","inventoryitem",True
"5446","VRC25262","O-RING CE TO FRAME",NULL,"CONSUMABLE","inventoryitem",True
"5447","VRC25302","ORING HEAD-CRANK","1.23","CONSUMABLE","inventoryitem",True
"5448","VRC25354","ORINV SUCT VLV COV","0.87","CONSUMABLE","inventoryitem",True
"5449","VRC25404","ORING DISC VLV","0.72","CONSUMABLE","inventoryitem",True
"545","1W-6055","RING G",NULL,"CONSUMABLE","inventoryitem",True
"5450","VRC25405","GSKT DIS VLV","2.16","CONSUMABLE","inventoryitem",True
"5451","VRC25454","4.5-5.0 S VLV ORIN","0.91","CONSUMABLE","inventoryitem",True
"5452","VRC25504","O-RING","0.84","CONSUMABLE","inventoryitem",True
"5453","VRC25752","7.5"" PISTON HEAD O-RING",NULL,"CONSUMABLE","inventoryitem",True
"5454","VRC26115A","ARROW S VALVE","36.15","CONSUMABLE","inventoryitem",True
"5455","K-VRC26123","ARROW; VALVE KIT","75.71","COMPRESSOR VALVE PROGRAM","inventoryitem",True
"5456","VRC28022","O-RING",NULL,"CONSUMABLE","inventoryitem",True
"5457","VRC28024","SEAL  OIL  CRANKSHAFT",NULL,"CONSUMABLE","inventoryitem",True
"5458","VRC28400","BELT VRC LUBRICATOR DRIVE",NULL,"CONSUMABLE","inventoryitem",True
"5459","VRC28465","SHEAVE LUBE PUMP BELT",NULL,"CONSUMABLE","inventoryitem",True
"546","1W-8129","SUPPORT","282.79",NULL,"inventoryitem",True
"5460","VRC28470","BEARING VRC IDLER & TENSIONER",NULL,"CONSUMABLE","inventoryitem",True
"5461","VRC28514B","3/8"""" ARROW LBE PMP","250.5","ENGINE PROGRAM","inventoryitem",True
"5462","VRC29482B","ENTERING TOOL",NULL,"CONSUMABLE","inventoryitem",True
"5463","VRS21211","BEARINGCONROD HEA","9.61","CONSUMABLE","inventoryitem",True
"5464","VRS21325","GASKET SIDE COVER","8.69","CONSUMABLE","inventoryitem",True
"5465","VRS22002","BUSHING","19.99","CONSUMABLE","inventoryitem",True
"5466","VRS22118","SRUD CROSSHEAD PIN","4.46","CONSUMABLE","inventoryitem",True
"5467","VRS26515AKIT","USE PN K-VRC26515 (DO NOT USE)",NULL,"CONSUMABLE","inventoryitem",False
"5468","VRS26715K","USE PN K-VRS26715 ( DO NOT USE )",NULL,"CONSUMABLE","inventoryitem",False
"5469","VRS26725AKIT","4-1/2 ARROW D KIT",NULL,"CONSUMABLE","inventoryitem",True
"547","1W-9264","TUBE TURBO OIL DRAIN 3306 CAT","255.47","ENGINE PROGRAM","inventoryitem",True
"5470","VRS28015","COVERPLATE GASKET","12.08","CONSUMABLE","inventoryitem",True
"5471","VRT111250","1X1 1250# TAYLOR RELIEF VALVE",NULL,"CONSUMABLE","inventoryitem",True
"5472","VS2","MURPHY VIBRATION S","146.55","CONSUMABLE","inventoryitem",True
"5473","VS2EX","SHOCK VIBRATION SWITCH","264.93","CONSUMABLE","inventoryitem",True
"5474","VVCP5","5"""" VVCP","288.64","CONSUMABLE","inventoryitem",True
"5475","VVCP8R","8"" H302 VARIABLE VOLUME CONTRO",NULL,"CONSUMABLE","inventoryitem",True
"5476","VXT-RE-08-2","CATALYST",NULL,"CONSUMABLE","inventoryitem",True
"5477","VXT-RE-10-1","ELEMENT, CATALYST, 3-WAY, VX10",NULL,"CONSUMABLE","inventoryitem",True
"5478","VXT-RE-10-2","CATAYLST 3-WAY",NULL,"CONSUMABLE","inventoryitem",True
"5479","W1/4TOL","1X36-1/2 3000# FS TOL A105",NULL,"CONSUMABLE","inventoryitem",True
"548","1W-9812","GEAR CAT","171.63","ENGINE PROGRAM","inventoryitem",True
"5480","W18","CHAMPION SPARK PLU","7.45","PM PARTS","inventoryitem",True
"5481","WA00002","BOLT",NULL,"CONSUMABLE","inventoryitem",True
"5482","WA00003","BOLT, CYL HEAD",NULL,"CONSUMABLE","inventoryitem",True
"5483","WA00004","BOLT CYL HEAD",NULL,"CONSUMABLE","inventoryitem",True
"5484","WA00005","BOLT, MAIN CAP W/STUD",NULL,"CONSUMABLE","inventoryitem",True
"5485","WA50130","BRG, ROD A62",NULL,"CONSUMABLE","inventoryitem",True
"5486","WB03000","O-RING THERMOSTAT VRG 380 T/A",NULL,"CONSUMABLE","inventoryitem",True
"5487","WC50038","TURBO CHARGER A62TA",NULL,"ENGINE PROGRAM","inventoryitem",True
"5488","WCL3","CAP RAIN SLIP FIT 3"""" NPS YELL",NULL,"CONSUMABLE","inventoryitem",True
"5489","WCOA-50","WELDING CABLE",NULL,"CONSUMABLE","inventoryitem",True
"549","1X1X1/8 ANGLE","1X1X1/8 ANGLE",NULL,"CONSUMABLE","inventoryitem",True
"5490","WCOAR-50","RED WELDING CABLE",NULL,"CONSUMABLE","inventoryitem",True
"5491","WD11","WD40 11 OZ SPRAY",NULL,"CONSUMABLE","inventoryitem",True
"5492","WE4","ELEMENT","246.71","PM PARTS","inventoryitem",True
"5493","WE4H","HUB","202.86","CONSUMABLE","inventoryitem",True
"5494","WEI51535","3"" COARSE SURF COND DISK",NULL,"CONSUMABLE","inventoryitem",True
"5495","WEST-IFCM7826","COMPRESSOR OIL FILTER- WORTHIN",NULL,"PM PARTS","inventoryitem",True
"5496","WIKA 9699117","PRESSURE GAUGE 0-60 1/4""",NULL,"CONSUMABLE","inventoryitem",True
"5497","WIKA 9734371","PRESSURE GAUGE 0-300 1/2""",NULL,"CONSUMABLE","inventoryitem",True
"5498","WODD35-DF","REPAIR KIT FOR 35 SERIES COUPL",NULL,"CONSUMABLE","inventoryitem",True
"5499","WT21","WIRETWIST WIRE CONNECTOR BLUE",NULL,"CONSUMABLE","inventoryitem",True
"55","05-010","SET SPRING 17-7 SS",NULL,"CONSUMABLE","inventoryitem",True
"550","1X408","AJAX LB CPG INSERT","1.83","CONSUMABLE","inventoryitem",True
"5500","WT31","WIRETWIST WIRE CONNECTOR, WT3",NULL,"CONSUMABLE","inventoryitem",True
"5501","WT41","WIRETWIST WIRE CONNECTOR, WT4",NULL,"CONSUMABLE","inventoryitem",True
"5502","WT61","WIRETWIST WIRE CONNECTOR, WT6",NULL,"CONSUMABLE","inventoryitem",True
"5503","X-1037","YOKE THROW OUT 7 8","35.82","CONSUMABLE","inventoryitem",True
"5504","X-117","ARROW 11"""" CLUTCH C","73.67","CONSUMABLE","inventoryitem",True
"5505","X-117-B-14","14""""COLLAR ASSY","127.25","CONSUMABLE","inventoryitem",True
"5506","X-117-C8","ARROW 7"""" 8"""" 10"""" CL","95.6","CONSUMABLE","inventoryitem",True
"5507","X-5091","YOKE THROWOUT","75.1","CONSUMABLE","inventoryitem",True
"5508","X-6-5-P8AL HILTI PISTON GUN","HILTI GUN PISTON",NULL,"TOOLS","inventoryitem",True
"5509","X000433","VISUAL INDICATOR, COMPRESSOR L",NULL,"CONSUMABLE","inventoryitem",True
"551","2 X 2 X 1/4 ANGLE","2 X 2 X 1/4 ANGLE IRON 20FT",NULL,"CONSUMABLE","inventoryitem",True
"5510","XA-3650-F","GASKET HD GRAFOIL","14.73","CONSUMABLE","inventoryitem",True
"5511","XA-3731","RING PISTON (1/4 O","9.76","CONSUMABLE","inventoryitem",True
"5512","XA-3831","9.5X12 AJAX RINGS","11.9","CONSUMABLE","inventoryitem",True
"5513","XH-4370-B-C","SPRING AJAX","4.69","CONSUMABLE","inventoryitem",True
"5514","XHD31A","BATTERY",NULL,"CONSUMABLE","inventoryitem",True
"5515","XHD31C","BATTERY 12 V 1000CCA SAE TERMINAL POST","107.37","CONSUMABLE","inventoryitem",True
"5516","XM-1681-C","LUBE BOX COUPLING","62.32","CONSUMABLE","inventoryitem",True
"5517","XR1-4015-35-3CD","OXIDATION CATALYST 24X15X3.72",NULL,"CONSUMABLE","inventoryitem",True
"5518","XYL","XYLENE 5 GAL",NULL,"CONSUMABLE","inventoryitem",True
"5519","XYLENE","XYLENE",NULL,"CONSUMABLE","inventoryitem",True
"552","2' 3000 PSI BALL VALVE","VALVE",NULL,"COMPRESSOR VALVE PROGRAM","inventoryitem",True
"5520","XYLENE 5 G","XYLENE REDUCER 5 GALLON PAIL 5",NULL,"CONSUMABLE","inventoryitem",True
"5521","YAE-5014A","STUFFING BOX  230 AJAX","885.6","ENGINE PROGRAM","inventoryitem",True
"5522","YAE-5088-R","HUB FAN AJAX","164","CONSUMABLE","inventoryitem",True
"5523","YAE-5097-H-3","PLUNGER  ASSY",NULL,"CONSUMABLE","inventoryitem",True
"5524","YAE-5097-K2","VALVE PLUNGER AJAX",NULL,"ENGINE PROGRAM","inventoryitem",True
"5525","YAE-5098-T3-R","VALVE FUEL INJECTOR AJAX",NULL,"ENGINE PROGRAM","inventoryitem",True
"5526","YAE-6086","FAN/HUB ASSY AJAX BPC-60",NULL,"ENGINE PROGRAM","inventoryitem",True
"5527","YDM","30 PR SENSE LINE PROTECTOR","180.46","CONSUMABLE","inventoryitem",True
"5528","YELLOWMARKER","MARKER  YELLOW PAINT",NULL,"CONSUMABLE","inventoryitem",True
"5529","YK-6118-R","VALVE START AIR 230 AJAX RBLT","1533","ENGINE PROGRAM","inventoryitem",True
"553","2' HEX HEAD PLUG","2' HEX HEAD PLUG",NULL,"CONSUMABLE","inventoryitem",True
"5530","YK6938A","GOVERNOR ENGINE LARGE SLIP-IN","3027.26","ENGINE PROGRAM","inventoryitem",True
"5531","YTX","KIMRAY DP200 DRIP POT",NULL,"CONSUMABLE","inventoryitem",True
"5532","K-YVD-35","AJAX; VALVE KIT",NULL,"COMPRESSOR VALVE PROGRAM","inventoryitem",True
"5533","YVDS-30","AJAX VALVE","230","CONSUMABLE","inventoryitem",True
"5534","K-YVDS-30","AJAX; VALVE KIT",NULL,"COMPRESSOR VALVE PROGRAM","inventoryitem",True
"5535","K-YVS-30","AJAX; VALVE KIT",NULL,"COMPRESSOR VALVE PROGRAM","inventoryitem",True
"5536","K-YVS-35","AJAX; VALVE KIT",NULL,"COMPRESSOR VALVE PROGRAM","inventoryitem",True
"5537","YWF4E-450S","YWF4E-450S","516.9","CONSUMABLE","inventoryitem",True
"5538","ZSD-94-GWVH-17","PISTON RINGS",NULL,"CONSUMABLE","inventoryitem",True
"554","2-01-20008-R","VALVE SUCT. RBLT","244.72","COMPRESSOR VALVE PROGRAM","inventoryitem",True
"555","2-01-20275","3"""" CP SUCT. VALVE","45.01","CONSUMABLE","inventoryitem",True
"556","2-01-20275-KIT","USE PN K-2-01-20275 ( DO NOT USE )",NULL,"CONSUMABLE","inventoryitem",False
"557","2-01-20275-R","VALVE REBUILT SUCTION 4-4.5","104.38","COMPRESSOR VALVE PROGRAM","inventoryitem",True
"558","2-01-20275KIT","CP 3"""" SUC. RPR KIT",NULL,"CONSUMABLE","inventoryitem",True
"559","2-01-20275MTKIT","USE PN K-2-01-20275 ( DO NOT USE )",NULL,"COMPRESSOR VALVE PROGRAM","inventoryitem",False
"56","05-058","Please update",NULL,NULL,"inventoryitem",False
"560","2-01-20296","GEMINI: SUCTION VALVE, 70RX, 4"" - 4-1/2""","707.78","COMPRESSOR VALVE PROGRAM","inventoryitem",True
"561","K-2-01-20296","GEMINI; SUCTION VALVE REPAIR KIT: 4"" - 4-1/2""","81.99","COMPRESSOR VALVE PROGRAM","inventoryitem",True
"5612","1X7.1/2CW/NUT","1 X 7-1/2 B7 CAD PLATED STUD B",NULL,"CONSUMABLE","inventoryitem",True
