"status","unit_number","customer","location","county","state","engine","engine_family","engine_serial_num","afr","catalyst","catalyst_mm","oem_hp","nova_hp","engine_rpm","frame_rpm","compressor_frame","compressor_frame_family","compressor_frame_sn","stages","cylinder_size","package_mfg_date","engine_mfg_date","zero_hour_date","compressor_frame_rebuild","top_end","oil_provider","telemetry","coordinates","trailer_unit","unit_set_date","billing_start_date","billing_end_date","last_billing_date","on_off_contract","mtm_last_price_increase","salesperson","contract_type_tax","contract_type_oil","monthly_rate","recurring_discount","sales_tax","ad_valorem_heit","net_revenue","day_rate","origin","acq_eff_date","owned_leased","operational_region","finance_region","unit_profile_update_date","financial_sku","oem_hp_tranche","bd_comments","ops_comments","set_week","release_week"
"IDLE ON LOCATION","7528","NEW HORIZON RESOURCES LLC","AKINS #1 & #2","PANOLA","TX","ARROW - VRG220","VRG220","40180T",NULL,"NO",NULL,"45","32","1800",NULL,"GEMINI - MPC","MPC","C2159","2","4.0 X 2.5","1985-06-01 00:00:00","1985-06-01 00:00:00","2023-04-25 00:00:00","2020-05-05 00:00:00","2023-04-25 00:00:00","ATLAS",NULL,"32.231018,-94.461266","NO",NULL,"2023-01-01 00:00:00","2023-12-31 00:00:00",NULL,"OFF","REVIEW FOR INCREASE","DONNIS LEWIS","RENTAL","WET","0","0","0","0","0","N","MUSTANG GAS COMPRESSION",NULL,"OWNED",NULL,NULL,NULL,"VRG220-MPC-2","0-100",NULL,NULL,NULL,NULL
"RENTED","7554","PRESIDIO PETROLEUM","MOORE FAMILY FARMS #1-67H","HEMPHILL","TX","CATERPILLAR - G3304NA","G3304NA","37Y31621",NULL,"NO",NULL,"95","80","1800",NULL,"GEMINI - M302","M302","HSR-008902","3","6.5 X 4.0 X 2.5","1985-09-01 00:00:00","1985-09-01 00:00:00","2019-09-18 10:51:00","2021-07-06 00:00:00","2023-05-03 00:00:00","ATLAS",NULL,"35.808102,-100.02435","NO",NULL,"2022-04-01 00:00:00","2023-03-31 00:00:00",NULL,"OFF","REVIEW FOR INCREASE","DONNIS LEWIS","RENTAL","WET","2333","0","0","0","2333","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","MIDCON","MIDCON",NULL,"G3304NA-M302-3","0-100",NULL,"UNIT DOWN - VARIABLE POCKET CAME APART",NULL,NULL
"RENTED","7566","TGNR TVL LLC","MILES 13-1","LINCOLN","LA","CATERPILLAR - G3304NA","G3304NA","37Y03352","EMIT/EDGE","NO",NULL,"95","80","1800",NULL,"GEMINI - MPD","MPD","C2205","2","5.0 X 2.5","1985-08-01 00:00:00","1997-09-17 00:00:00","2023-01-05 00:00:00","2019-06-20 00:00:00","2023-01-05 00:00:00","ATLAS",NULL,"32.554485,-92.741432","NO",NULL,"2022-09-01 00:00:00","2023-08-31 00:00:00",NULL,"OFF","REVIEW FOR INCREASE","DONNIS LEWIS","RENTAL","WET","1944","0","0","0","1944","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","EAST TEXAS","EAST TEXAS",NULL,"G3304NA-MPD-2","0-100",NULL,NULL,NULL,NULL
"RENTED","7585","REVOLUTION RESOURCES","DOYLE 707-6H","LIPSCOMB","TX","CATERPILLAR - G3304NA","G3304NA","37Y01013",NULL,"NO",NULL,"95","80","1800",NULL,"GEMINI - MPD","MPD","C2874","2","5.5 X 3.0","1985-09-01 00:00:00","1985-04-16 00:00:00","2023-08-05 00:00:00","2019-06-20 00:00:00","2022-08-26 00:00:00","ATLAS",NULL,"36.27624,-100.19235","NO","2021-06-18 00:00:00","2023-02-01 00:00:00","2023-12-31 00:00:00",NULL,"ON","2023-02-01 00:00:00","DONNIS LEWIS","RENTAL","WET","2500","0","0","0","2500","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","MIDCON","MIDCON",NULL,"G3304NA-MPD-2","0-100",NULL,NULL,NULL,NULL
"RENTED","7586","ENERQUEST OIL & GAS LLC","RICHEY #1","RUSK","TX","ARROW - VRG330","VRG330","388405",NULL,"NO",NULL,"68",NULL,"1800","1800","GEMINI - MPD","MPD","C2236","2","5.0 X 2.5","1985-10-01 00:00:00","1985-10-01 00:00:00","1985-10-01 00:00:00",NULL,"2020-10-10 00:00:00","ATLAS",NULL,"31.916576,-94.977501","NO",NULL,"2023-03-01 00:00:00","2024-02-29 00:00:00",NULL,"ON","2023-03-01 00:00:00","DONNIS LEWIS","RENTAL","WET","2150","0","0","0","2150","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","EAST TEXAS","EAST TEXAS",NULL,"VRG330-MPD-2","0-100",NULL,NULL,NULL,NULL
"RENTED","7595","CRESCENT PASS ENERGY LLC","MCBRIDE #1","LEON","TX","CATERPILLAR - G3306NA","G3306NA","GX04523","EMIT EDGE NG ","NO",NULL,"145","130","1800",NULL,"GEMINI - MPD","MPD","C4469","2","5.0 X 3.0","1985-11-01 00:00:00","1985-11-01 00:00:00","2023-02-09 00:00:00","2023-02-15 00:00:00","2023-02-09 00:00:00","ATLAS",NULL,"31.337547,-96.189613","NO",NULL,"2019-11-12 00:00:00","2020-11-12 00:00:00",NULL,"OFF","REVIEW FOR INCREASE","DONNIS LEWIS","RENTAL","WET","3049","0","0","0","3049","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","SOUTH TEXAS","SOUTH TEXAS",NULL,"G3306NA-MPD-2","101-400","ASSIGNED FROM SABINE TO CRESCENT EFFECTIVE 4/21/21",NULL,NULL,NULL
"RENTED","7596","ENERQUEST CORPORATION","HEC","RUSK","TX","CATERPILLAR - G3304NA","G3304NA","MISSING3",NULL,"NO",NULL,"95","80","1800","1800","GEMINI - MPD","MPD",NULL,"3","6.5 X 5.0 X 3.0","1981-11-01 00:00:00","1981-11-01 00:00:00","2015-06-10 00:00:00","2023-01-15 00:00:00","2023-05-10 00:00:00","ATLAS",NULL,"31.845639, -94.725564","NO","2022-03-04 00:00:00","2022-03-04 00:00:00","2023-03-04 00:00:00",NULL,"OFF","REVIEW FOR INCREASE","DONNIS LEWIS","RENTAL","WET","2475","0","0","0","2475","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","EAST TEXAS","EAST TEXAS","2022-02-11 00:00:00","G3304NA-MPD-3","0-100",NULL,NULL,NULL,NULL
"RENTED","7600","NEW HORIZON RESOURCES LLC","AKINS #1 & #2","PANOLA","TX","ARROW - VRG330","VRG330","C-3279",NULL,"NO",NULL,"68",NULL,NULL,NULL,"GEMINI - MPC","MPC","C2281","2","4.375 X 2.5","1985-12-01 00:00:00","1985-12-01 00:00:00","2021-11-30 00:00:00","2015-03-27 00:00:00","2021-11-30 00:00:00","ATLAS",NULL,"32.2303750, -94.4639290","NO",NULL,"2023-01-01 00:00:00","2023-12-31 00:00:00",NULL,"ON","ON CONTRACT","DONNIS LEWIS","RENTAL","WET","1850","0","0","0","1850","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","EAST TEXAS","EAST TEXAS",NULL,"VRG330-MPC-2","0-100",NULL,NULL,NULL,NULL
"RENTED","7640","NADEL & GUSSMAN RUSTON LLC","JOHNSON #1","OUACHITA","LA","ARROW - VRG330","VRG330","387419",NULL,"NO",NULL,"68",NULL,NULL,NULL,"GEMINI - MPD","MPD",NULL,"2","5.0 X 3.0","1985-11-01 00:00:00","1985-11-01 00:00:00","2015-12-10 00:00:00","2021-03-23 00:00:00","2022-05-31 00:00:00","ATLAS",NULL,"32.565945,-92.380898","NO",NULL,"2015-12-10 00:00:00","2016-01-10 00:00:00","2023-12-30 00:00:00","OFF","REVIEW FOR INCREASE","DONNIS LEWIS","RENTAL","WET","2012","0","0","0","2012","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","EAST TEXAS","EAST TEXAS",NULL,"VRG330-MPD-2","0-100",NULL,NULL,NULL,"WEEK 52"
"RENTED","7641","POLARIS OPERATING LLC","T BOONE PICKENS 2-1H","ROBERTS","TX","ARROW - VRG330","VRG330","C-4225P",NULL,"NO",NULL,"68",NULL,NULL,NULL,"GEMINI - MPD","MPD","C3136","2","5.5 X 3.0","1985-12-01 00:00:00","1985-12-01 00:00:00","2022-02-15 00:00:00","2021-12-22 00:00:00","2022-02-15 00:00:00","ATLAS",NULL,"35.920834,-100.87142","NO",NULL,"2022-12-01 00:00:00","2024-12-31 00:00:00",NULL,"ON","ON CONTRACT","DONNIS LEWIS","RENTAL","WET","2256","0","0","0","2256","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","MIDCON","MIDCON",NULL,"VRG330-MPD-2","0-100",NULL,NULL,NULL,NULL
"RENTED","7656","DIVERSIFIED GAS AND OIL","FRANSEN FARMS 1","CUSTER","OK","ARROW - VRG330","VRG330","KGA54S001",NULL,"NO",NULL,"68",NULL,NULL,NULL,"GEMINI - MPD","MPD","C2368","3","5.0 X 4.0 X 2.5","1986-02-01 00:00:00","2022-07-01 00:00:00","2023-01-05 00:00:00","2019-06-19 00:00:00","2023-01-05 00:00:00","ATLAS",NULL,"35.549572,-99.154900","NO","2022-06-06 00:00:00","2023-07-01 00:00:00","2023-12-31 00:00:00",NULL,"ON","ON CONTRACT","DONNIS LEWIS","RENTAL","WET","2200","0","0","16.84","2183.16","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","MIDCON","MIDCON",NULL,"VRG330-MPD-3","0-100",NULL,NULL,NULL,NULL
"RENTED","7681","POLARIS OPERATING LLC","T BOONE PICKESN 3-1H","ROBERTS","TX","ARROW - VRG330","VRG330","C-605","EMIT EDGE NG","NO",NULL,"68",NULL,NULL,NULL,"GEMINI - MPD","MPD","C2677","2","5.5 X 3.0","1986-01-01 00:00:00","1986-01-01 00:00:00","2020-05-05 00:00:00","2020-05-15 00:00:00","2020-05-05 00:00:00","ATLAS",NULL,"35.906006,-100.85884","NO",NULL,"2022-12-01 00:00:00","2024-12-31 00:00:00",NULL,"ON","ON CONTRACT","DONNIS LEWIS","RENTAL","WET","2256","0","0","0","2256","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","MIDCON","MIDCON",NULL,"VRG330-MPD-2","0-100",NULL,NULL,NULL,NULL
"RENTED","7692","CAPITAL STAR OIL & GAS INC","NEW HAUS COMPRESSOR","LAVACA","TX","CATERPILLAR - G3304NA","G3304NA","37Y00368",NULL,"NO",NULL,"95","80","1800",NULL,"GEMINI - MPD","MPD","C4050","3","4.0 X 2.5 X 3.0","1986-01-01 00:00:00","1986-01-01 00:00:00","2019-05-23 01:24:00","2015-08-10 00:00:00","2021-02-02 00:00:00","ATLAS",NULL,"29.25223,-96.58077","NO",NULL,"2019-03-04 00:00:00","2020-03-04 00:00:00",NULL,"OFF","REVIEW FOR INCREASE","DONNIS LEWIS","RENTAL","WET","3000","0","0","0","3000","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","SOUTH TEXAS","SOUTH TEXAS",NULL,"G3304NA-MPD-3","0-100","EMAIL SENT FROM DBUSHONG STATING THIS FIELD MOVE.",NULL,NULL,NULL
"RENTED","7715","POLARIS OPERATING LLC","MESA VISTA 4-1H","ROBERTS","TX","CATERPILLAR - G3306NA","G3306NA","07Y02476",NULL,"NO",NULL,"145","130","1800",NULL,"GEMINI - MPD","MPD","C2458","3","7.5 X 5.0 X 3.0","1986-05-01 00:00:00","1986-05-01 00:00:00","2017-10-04 16:27:00","2017-05-04 00:00:00","2020-09-17 00:00:00","ATLAS",NULL,"35.93651,-100.83831","YES",NULL,"2022-12-01 00:00:00","2024-12-31 00:00:00",NULL,"ON","ON CONTRACT","DONNIS LEWIS","RENTAL","WET","3550","0","0","0","3550","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","MIDCON","MIDCON",NULL,"G3306NA-MPD-3","101-400",NULL,NULL,NULL,NULL
"IDLE","7735",NULL,"KILGORE, TX YARD","RUSK","TX","CATERPILLAR - G3304NA","G3304NA","37Y407",NULL,"NO",NULL,"95","80","1800",NULL,"GEMINI - MPD","MPD","6N7984","2","5.0 X 2.5","1986-03-01 00:00:00","1986-03-01 00:00:00","2015-07-29 00:00:00","2015-07-29 00:00:00","2021-05-10 00:00:00",NULL,NULL,"32.36522050, -94.88880885","NO",NULL,"2018-10-24 00:00:00","2019-10-24 00:00:00","2022-10-07 00:00:00","OFF","REVIEW FOR INCREASE",NULL,NULL,"WET","0","0","0","0","0","N","MUSTANG GAS COMPRESSION",NULL,"OWNED",NULL,NULL,NULL,"G3304NA-MPD-2","0-100",NULL,NULL,NULL,NULL
"RENTED","7736","POLARIS OPERATING LLC","MESA VISTA 2-3H","ROBERTS","TX","CATERPILLAR - G3304NA","G3304NA","N4F02771",NULL,"NO",NULL,"95","80","1800",NULL,"GEMINI - MPD","MPD","C2448","2","5.0 X 2.5","1985-06-01 00:00:00","2007-11-09 00:00:00","2019-03-05 00:00:00","2020-01-13 00:00:00","2019-03-05 00:00:00","ATLAS",NULL,"35.9546179,-100.8230265","NO","2020-05-04 00:00:00","2022-12-01 00:00:00","2024-12-31 00:00:00",NULL,"ON","ON CONTRACT","DONNIS LEWIS","RENTAL","WET","2550","0","0","0","2550","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","MIDCON","MIDCON",NULL,"G3304NA-MPD-2","0-100",NULL,NULL,NULL,NULL
"RENTED","7805","REVOLUTION RESOURCES","ROXIE 282-6H","LIPSCOMB","TX","CATERPILLAR - G3304NA","G3304NA","37Y01543","EMIT EDGE NG","YES","Emit EAS-100T-0404F-DOCEE SN 73221-0007","95","80","1800",NULL,"GEMINI - MPD","MPD","C2487","3","5.0 X 4.0 X 2.5","1986-10-01 00:00:00","1990-01-16 00:00:00","2023-04-02 00:00:00","2023-04-01 00:00:00","2023-04-02 00:00:00","ATLAS",NULL,"36.142385,-100.314632","NO","2021-06-03 00:00:00","2023-02-01 00:00:00","2023-12-31 00:00:00",NULL,"ON","2023-02-01 00:00:00","DONNIS LEWIS","RENTAL","WET","2500","0","0","0","2500","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","MIDCON","MIDCON",NULL,"G3304NA-MPD-3","0-100",NULL,NULL,NULL,NULL
"RENTED","7975","BUFFCO PRODUCTION INC","QUINLON LEE","CLAIBORNE","LA","CATERPILLAR - G3306NA","G3306NA","07Y04065","NO","NO","NO","145","130","1800","1800","GEMINI - MPD","MPD","C-2658","3","5.51 X 2.5 X 4.04","1988-05-01 00:00:00","1988-05-01 00:00:00","2018-09-27 14:21:00","2022-04-21 00:00:00","2022-02-28 00:00:00","ATLAS",NULL,"32.964584,-93.351874","NO","2021-08-05 00:00:00","2023-03-01 00:00:00","2024-02-29 00:00:00",NULL,"ON","2023-03-01 00:00:00","DONNIS LEWIS","RENTAL","WET","3050","0","0","0","3050","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","EAST TEXAS","EAST TEXAS","2021-07-16 00:00:00","G3306NA-MPD-3","101-400",NULL,NULL,NULL,NULL
"IDLE ON LOCATION","7994",NULL,"ON LOCATION","NEWTON","TX","ARROW - VRG330","VRG330","401910",NULL,"NO",NULL,"68",NULL,NULL,NULL,"GEMINI - MPD","MPD","C2662","2","5.0 X 2.5","1988-04-01 00:00:00","1988-04-01 00:00:00","2021-04-15 00:00:00","2019-06-20 00:00:00","2021-04-15 00:00:00",NULL,NULL,NULL,"NO",NULL,"2018-10-15 00:00:00","2019-10-15 00:00:00","2022-11-17 00:00:00","OFF","REVIEW FOR INCREASE",NULL,NULL,"WET","0","0","0","0","0","N","MUSTANG GAS COMPRESSION",NULL,"OWNED",NULL,NULL,NULL,"VRG330-MPD-2","0-100",NULL,NULL,NULL,NULL
"RENTED","8203","PRESIDIO PETROLEUM","KING 641-#1H","LIPSCOMB","TX","CATERPILLAR - G3304NA","G3304NA","37Y01075",NULL,"NO",NULL,"95","80","1800",NULL,"GEMINI - H302","H302","HSR-003915","2","5.5 X 3.0","1988-11-01 00:00:00","1988-11-01 00:00:00","2019-12-31 00:00:00","2019-09-23 00:00:00","2023-08-29 00:00:00","ATLAS",NULL,"36.259384,-100.44869","NO",NULL,"2022-04-01 00:00:00","2023-03-31 00:00:00",NULL,"OFF","REVIEW FOR INCREASE","DONNIS LEWIS","RENTAL","WET","2333","0","0","0","2333","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","MIDCON","MIDCON",NULL,"G3304NA-H302-2","0-100",NULL,NULL,NULL,NULL
"RENTED","8289","NEW HORIZON RESOURCES LLC","CHEROKEE #1 & #3","RUSK","TX","ARROW - VRG220","VRG220","398921",NULL,"NO",NULL,"45","32","1800",NULL,"GEMINI - MPC","MPC","C2197","2","4.375 X 2.5","1989-02-01 00:00:00","1989-02-01 00:00:00","2023-07-31 00:00:00","2009-12-01 00:00:00","2023-03-08 00:00:00","ATLAS",NULL,"32.352276,-94.630013","NO",NULL,"2023-01-01 00:00:00","2023-12-31 00:00:00",NULL,"ON","ON CONTRACT","DONNIS LEWIS","RENTAL","WET","1850","0","0","0","1850","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","EAST TEXAS","EAST TEXAS",NULL,"VRG220-MPC-2","0-100",NULL,NULL,NULL,NULL
"RENTED","8305","TYGR OPERATING COMPANY","REDDY #1","OUACHITA","LA","CATERPILLAR - G3304NA","G3304NA","37Y02522",NULL,"NO",NULL,"95","80","1800",NULL,"GEMINI - MPD","MPD","C2838","2","5.0 X 3.0","1989-02-01 00:00:00","1989-02-01 00:00:00","2012-03-05 00:00:00","2019-07-10 00:00:00","2022-11-19 00:00:00","ATLAS",NULL,"32.515839,-92.400284","NO",NULL,"2012-03-13 00:00:00","2017-10-01 00:00:00",NULL,"OFF","REVIEW FOR INCREASE","DONNIS LEWIS","RENTAL","WET","2134","0","0","0","2134","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","EAST TEXAS","EAST TEXAS",NULL,"G3304NA-MPD-2","0-100","UNIT TURNED ON 8/5/21, OFF STAND BY RATE OF $875 TO RENTAL OF $1,750",NULL,NULL,NULL
"RENTED","8312","TGNR TVL LLC","GARDNER 11-1","LINCOLN","LA","CATERPILLAR - G3306NA","G3306NA","07Y00929",NULL,"NO",NULL,"145","130","1800",NULL,"GEMINI - MPD","MPD",NULL,"3","8.0 X 5.0 X 3.0","1989-04-01 00:00:00","1989-04-01 00:00:00","2017-10-05 08:36:00","2019-07-15 00:00:00","2017-10-05 08:36:00","ATLAS",NULL,"32.469879,-92.746811","NO",NULL,"2022-09-01 00:00:00","2023-08-31 00:00:00",NULL,"OFF","REVIEW FOR INCREASE","DONNIS LEWIS","RENTAL","WET","2500","0","0","0","2500","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","EAST TEXAS","EAST TEXAS",NULL,"G3306NA-MPD-3","101-400",NULL,NULL,NULL,NULL
